bid_id,source,sink,quantity,price
B1,10,18,160,33
B2,10,20,120,12
B3,1,16,30,29
B4,19,10,130,25
B5,12,24,160,10
B6,10,18,160,29
B7,8,4,70,27
B8,12,18,80,13
B9,8,22,120,27
B10,5,2,80,30
B11,15,4,40,17
B12,14,17,150,25
B13,16,17,140,20
B14,18,24,160,11
B15,16,18,160,19
B16,1,11,30,21
B17,17,3,40,13
B18,3,12,80,14
B19,20,12,60,14
B20,4,16,70,13
B21,4,1,160,9
B22,7,21,150,23
B23,13,21,60,19
B24,4,16,40,13
B25,23,21,130,18
B26,8,21,100,34
B27,3,14,30,23
B28,8,14,50,24
B29,6,13,240,24
B30,20,16,140,28
B31,10,18,110,25
B32,9,16,80,8
B33,5,17,130,22
B34,16,11,140,22
B35,7,6,70,27
B36,13,21,100,17
B37,13,6,240,31
B38,9,5,80,15
B39,21,8,100,32
B40,19,11,120,16
B41,23,6,130,28
B42,14,20,140,26
B43,3,20,60,8
B44,17,22,160,20
B45,7,3,80,14
B46,17,5,70,29
B47,14,11,160,25
B48,18,19,110,17
B49,21,8,170,26
B50,11,23,120,26
B51,9,10,90,9
B52,23,4,70,24
B53,16,18,40,17
B54,7,1,30,18
B55,8,21,230,31
B56,13,21,150,22
B57,23,6,110,16
B58,3,14,140,17
B59,8,16,130,18
B60,4,16,90,26
B61,14,15,110,15
B62,12,8,50,15
B63,7,16,160,28
B64,1,2,40,21
B65,18,9,30,10
B66,24,3,180,31
B67,19,18,130,11
B68,8,21,180,26
B69,23,6,230,20
B70,12,16,100,15
B71,12,22,140,18
B72,18,15,130,12
B73,22,24,100,21
B74,5,10,70,14
B75,7,20,70,24
B76,19,6,140,19
B77,13,6,100,34
B78,18,22,60,16
B79,1,5,150,25
B80,9,1,140,10
B81,11,18,70,23
B82,13,6,90,25
B83,12,9,130,16
B84,23,8,150,17
B85,21,4,80,11
B86,7,24,80,18
B87,2,18,70,29
B88,1,14,180,12
B89,16,24,120,26
B90,24,3,130,23
B91,3,2,120,19
B92,21,22,140,8
B93,19,1,40,13
B94,21,8,180,21
B95,18,14,80,28
B96,7,22,50,28
B97,20,21,110,9
B98,9,19,50,30
B99,9,3,140,9
B100,24,3,130,28
B101,10,23,70,14
B102,10,4,50,27
B103,16,4,180,13
B104,12,24,70,29
B105,16,14,100,16
B106,24,14,130,30
B107,1,4,70,18
B108,8,4,80,22
B109,2,7,130,15
B110,22,10,140,15
B111,11,7,110,27
B112,1,13,150,8
B113,24,18,150,23
B114,16,10,150,17
B115,24,22,30,11
B116,17,18,130,30
B117,17,15,60,19
B118,20,8,90,30
B119,2,14,100,18
B120,9,23,140,29
B121,12,15,40,9
B122,16,7,160,20
B123,8,5,140,17
B124,21,3,140,9
B125,3,4,50,26
B126,13,19,160,9
B127,8,20,40,25
B128,15,14,40,25
