bus,price,amount,cleared
1,22,5.0,5.0
1,22,2.0,2.0
1,17,4.0,4.0
1,14,5.0,5.0
1,13,1.0,1.0
1,10,1.0,1.0
1,8,6.0,6.0
1,8,3.0,3.0
1,8,1.0,1.0
1,3,2.0,2.0
2,24,8.0,8.0
2,24,3.0,3.0
2,24,1.0,1.0
2,23,1.0,1.0
2,22,10.0,10.0
2,17,5.0,5.0
2,12,1.0,1.0
2,8,7.0,7.0
2,8,2.0,2.0
2,7,3.0,3.0
2,7,1.0,1.0
2,5,4.0,4.0
2,5,4.0,4.0
2,4,9.0,9.0
2,4,6.0,6.0
2,4,3.0,3.0
2,3,6.0,6.0
3,18,4.0,4.0
3,17,3.0,3.0
3,15,6.0,6.0
3,15,5.0,5.0
3,14,2.0,2.0
3,9,4.0,4.0
3,9,3.0,3.0
3,7,2.0,2.0
3,7,1.0,1.0
3,6,2.0,2.0
3,2,5.0,5.0
4,24,5.0,5.0
4,22,1.0,1.0
4,21,10.0,10.0
4,21,5.0,5.0
4,21,4.0,4.0
4,20,3.0,3.0
4,18,6.0,6.0
4,17,5.0,5.0
4,17,5.0,5.0
4,15,8.0,8.0
4,14,7.0,7.0
4,11,6.0,0.0
4,10,7.0,0.0
4,10,3.0,0.0
4,7,8.0,0.0
4,5,1.0,0.0
4,3,4.0,0.0
4,2,2.0,0.0
5,24,9.0,9.0
5,22,2.0,2.0
5,22,1.0,1.0
5,20,1.0,1.0
5,18,12.0,12.0
5,17,6.0,6.0
5,16,1.0,1.0
5,14,3.0,3.0
5,12,4.0,0.0
5,6,2.0,0.0
6,23,1.0,1.0
6,22,2.0,2.0
6,21,1.0,1.0
6,17,5.0,5.0
6,16,2.0,2.0
6,14,5.0,5.0
6,11,3.0,0.0
6,11,2.0,0.0
6,9,5.0,0.0
6,8,9.0,0.0
6,7,3.0,0.0
6,6,7.0,0.0
7,24,2.0,2.0
7,23,12.0,12.0
7,23,1.0,1.0
7,21,3.0,3.0
7,18,2.0,2.0
7,13,9.0,9.0
7,13,1.0,1.0
7,10,4.0,0.0
7,9,2.0,0.0
7,6,6.0,0.0
7,2,14.0,0.0
7,2,6.0,0.0
8,22,4.0,4.0
8,21,14.0,14.0
8,21,4.0,4.0
8,21,4.0,4.0
8,20,7.0,7.0
8,20,3.0,3.0
8,18,3.0,3.0
8,15,8.0,8.0
8,14,13.0,13.0
8,12,4.0,4.0
8,12,2.0,2.0
8,11,3.0,0.0
8,10,6.0,0.0
8,7,5.0,0.0
8,4,3.0,0.0
8,4,2.0,0.0
8,2,2.0,0.0
9,23,4.0,4.0
9,21,4.0,4.0
9,18,11.0,11.0
9,18,10.0,10.0
9,18,6.0,6.0
9,17,1.0,1.0
9,14,7.0,7.0
9,12,3.0,3.0
9,11,11.0,8.865591397850494
9,9,1.0,0.0
9,8,11.0,0.0
9,8,5.0,0.0
9,8,3.0,0.0
9,6,3.0,0.0
9,4,7.0,0.0
9,4,2.0,0.0
9,4,2.0,0.0
9,3,3.0,0.0
9,2,13.0,0.0
10,24,9.0,9.0
10,24,3.0,3.0
10,21,6.0,6.0
10,20,3.0,3.0
10,20,2.0,2.0
10,19,6.0,6.0
10,19,6.0,6.0
10,19,1.0,1.0
10,19,1.0,1.0
10,18,4.0,4.0
10,16,14.0,14.0
10,16,5.0,5.0
10,15,1.0,1.0
10,14,1.0,1.0
10,12,12.0,12.0
10,12,5.0,5.0
10,11,4.0,0.0
10,11,1.0,0.0
10,9,5.0,0.0
10,6,3.0,0.0
11,24,1.0,1.0
11,19,4.0,4.0
11,19,1.0,1.0
11,18,9.0,9.0
11,18,6.0,6.0
11,17,3.0,3.0
11,17,2.0,2.0
11,17,1.0,1.0
11,16,1.0,1.0
11,15,3.0,3.0
11,11,4.0,0.0
11,11,4.0,0.0
11,10,1.0,0.0
11,10,1.0,0.0
11,9,6.0,0.0
11,5,5.0,0.0
11,5,3.0,0.0
11,3,7.0,0.0
12,24,9.0,9.0
12,22,2.0,2.0
12,21,2.0,2.0
12,17,5.0,5.0
12,17,4.0,4.0
12,14,1.0,1.0
12,12,3.0,3.0
12,11,3.0,0.0
12,8,2.0,0.0
12,4,5.0,0.0
12,4,3.0,0.0
12,3,9.0,0.0
12,2,5.0,0.0
13,24,10.0,10.0
13,20,2.0,2.0
13,15,5.0,5.0
13,15,3.0,3.0
13,14,4.0,4.0
13,12,5.0,5.0
13,10,6.0,0.0
13,7,6.0,0.0
13,6,8.0,0.0
13,5,1.0,0.0
13,4,3.0,0.0
14,23,1.0,1.0
14,20,4.0,4.0
14,18,1.0,1.0
14,17,3.0,3.0
14,16,6.0,6.0
14,16,2.0,2.0
14,16,1.0,1.0
14,16,1.0,1.0
14,15,8.0,8.0
14,13,17.0,17.0
14,12,5.0,5.0
14,11,6.0,6.0
14,9,9.0,0.0
14,9,3.0,0.0
14,3,10.0,0.0
14,3,3.0,0.0
14,2,3.0,0.0
15,22,2.0,2.0
15,22,1.0,1.0
15,21,1.0,1.0
15,17,10.0,10.0
15,13,5.0,5.0
15,9,6.0,6.0
15,9,4.0,4.0
15,8,5.0,5.0
15,8,1.0,1.0
15,7,5.0,5.0
15,2,2.0,0.0
16,19,8.0,8.0
16,15,4.0,4.0
16,10,6.0,6.0
16,7,8.0,8.0
16,7,1.0,1.0
16,5,2.0,2.0
16,4,4.0,4.0
16,4,4.0,4.0
16,4,1.0,1.0
16,2,3.0,3.0
17,23,5.0,5.0
17,21,3.0,3.0
17,20,7.0,7.0
17,20,6.0,6.0
17,20,3.0,3.0
17,19,9.0,9.0
17,18,1.0,1.0
