bid_id,source,sink,quantity,price
B1,10,18,160,33
B2,10,20,120,12
B3,1,14,90,33
B4,10,18,150,22
B5,3,24,170,29
B6,22,21,60,11
B7,6,13,190,17
B8,8,21,120,13
B9,21,8,220,15
B10,10,14,110,25
B11,21,8,240,34
B12,10,18,110,27
B13,16,4,80,22
B14,10,18,100,17
B15,3,24,140,22
B16,4,16,110,27
B17,21,8,110,12
B18,2,7,70,14
B19,21,8,200,32
B20,8,21,110,17
B21,23,21,130,18
B22,8,21,100,34
B23,3,24,80,27
B24,8,14,50,24
B25,6,13,240,24
B26,21,8,80,20
B27,3,24,90,20
B28,1,14,120,28
B29,21,8,230,22
B30,13,6,140,17
B31,21,8,220,21
B32,13,6,240,31
B33,18,10,150,12
B34,21,8,100,32
B35,16,4,100,35
B36,6,13,80,25
B37,8,21,100,31
B38,10,18,200,27
B39,3,24,140,13
B40,6,13,210,22
B41,23,8,110,26
B42,18,10,220,29
B43,21,8,180,34
B44,10,18,90,28
B45,3,24,220,27
B46,16,18,40,17
B47,21,8,180,14
B48,10,18,230,24
B49,8,21,210,22
B50,24,3,160,14
B51,23,10,100,15
B52,16,22,160,18
B53,4,16,90,26
B54,23,6,150,18
B55,21,8,140,32
B56,14,1,110,25
B57,18,9,30,10
B58,24,3,180,31
B59,24,3,150,22
B60,6,13,120,29
