bid_id,source,sink,quantity,price
B1,10,18,160,33
B2,10,20,120,12
B3,1,16,30,29
B4,19,10,130,25
B5,16,4,100,27
B6,18,22,130,15
B7,9,20,150,12
B8,12,6,110,28
B9,22,19,160,27
B10,5,2,80,30
B11,15,4,40,17
B12,14,17,150,25
B13,21,8,240,34
B14,9,18,140,11
B15,16,18,160,19
B16,1,11,30,21
B17,17,3,40,13
B18,3,12,80,14
B19,20,12,60,14
B20,4,16,70,13
B21,4,1,160,9
B22,8,21,230,24
B23,12,18,100,11
B24,6,7,140,30
B25,21,22,160,18
B26,8,21,100,34
B27,3,24,80,27
B28,8,14,50,24
B29,6,13,240,24
B30,20,16,140,28
B31,10,18,110,25
B32,9,16,80,8
B33,5,17,130,22
B34,16,11,140,22
B35,21,8,230,24
B36,15,10,50,29
B37,5,1,150,29
B38,20,12,140,16
B39,21,8,230,27
B40,3,21,80,26
B41,9,3,140,20
B42,6,17,70,8
B43,24,19,60,10
B44,21,8,170,28
B45,13,16,110,14
B46,11,7,150,9
B47,5,9,150,29
B48,14,11,160,25
B49,18,19,110,17
B50,21,8,170,26
B51,11,23,120,26
B52,9,10,90,9
B53,23,4,70,24
B54,16,18,40,17
B55,7,1,30,18
B56,8,21,230,31
B57,13,21,150,22
B58,23,6,110,16
B59,3,14,140,17
B60,8,16,130,18
B61,4,16,90,26
B62,14,15,110,15
B63,4,16,150,18
B64,16,21,120,8
B65,3,24,130,29
B66,3,6,40,9
B67,20,19,120,26
B68,4,5,90,15
B69,11,15,30,13
B70,5,18,100,16
B71,12,16,100,15
B72,12,22,140,18
B73,18,15,130,12
B74,22,24,100,21
B75,5,10,70,14
B76,7,20,70,24
B77,19,6,140,19
B78,13,6,100,34
B79,18,22,60,16
B80,1,5,150,25
B81,9,1,140,10
B82,11,18,70,23
B83,13,6,90,25
B84,12,9,130,16
B85,23,8,150,17
B86,21,4,80,11
B87,7,24,80,18
B88,2,18,70,29
B89,1,14,180,12
B90,16,24,120,26
B91,24,3,130,23
B92,3,2,120,19
B93,21,22,140,8
B94,19,1,40,13
B95,21,8,180,21
B96,18,14,80,28
B97,7,22,50,28
B98,20,21,110,9
B99,9,19,50,30
B100,9,3,140,9
B101,24,3,130,28
B102,10,23,70,14
B103,10,4,50,27
B104,16,4,180,13
B105,12,24,70,29
B106,16,14,100,16
B107,24,14,130,30
B108,1,4,70,18
B109,8,4,80,22
B110,2,7,130,15
B111,22,10,140,15
B112,11,7,110,27
B113,1,13,150,8
B114,21,8,230,21
B115,20,24,130,8
B116,10,18,240,26
B117,8,21,90,25
B118,20,15,70,30
B119,22,23,150,19
B120,3,2,50,23
B121,23,6,150,16
B122,12,21,130,10
B123,2,16,60,10
B124,23,6,90,29
B125,3,24,230,26
B126,4,18,140,20
B127,3,24,150,16
B128,3,24,180,30
B129,20,16,130,10
B130,6,13,80,17
B131,13,11,90,8
B132,15,5,150,20
B133,8,21,210,17
B134,10,18,170,27
B135,22,6,40,29
B136,10,3,90,25
B137,2,13,130,8
B138,11,18,50,25
B139,8,21,40,29
B140,2,11,120,18
B141,1,7,100,12
B142,10,13,120,13
B143,20,18,160,11
B144,3,24,50,11
B145,19,5,160,16
B146,16,10,30,12
B147,6,13,130,16
B148,10,18,170,14
B149,5,13,60,13
B150,13,5,70,27
B151,24,13,110,26
B152,8,15,100,16
B153,17,19,160,21
B154,2,14,120,9
B155,15,16,100,20
B156,3,1,150,27
B157,14,3,90,28
B158,7,3,30,20
B159,13,17,90,17
B160,21,8,170,17
B161,16,2,30,26
B162,17,11,110,29
B163,6,13,230,23
B164,2,7,130,28
B165,8,14,80,9
B166,6,15,150,26
B167,4,1,60,20
B168,1,14,100,33
B169,22,7,60,25
B170,14,13,130,28
B171,16,4,160,32
B172,16,19,70,29
B173,12,6,120,8
B174,14,16,100,21
B175,12,18,130,21
B176,9,21,120,8
B177,24,10,150,27
B178,1,14,80,17
B179,6,16,50,18
B180,3,5,120,11
B181,24,9,150,13
B182,22,24,120,27
B183,12,7,160,17
B184,16,7,160,25
B185,19,2,110,24
B186,2,22,60,24
B187,9,23,120,24
B188,3,24,200,22
B189,18,14,150,15
B190,21,8,210,21
B191,18,7,50,12
B192,24,10,70,21
B193,13,20,120,29
B194,21,8,220,14
B195,21,8,240,31
B196,8,18,160,14
B197,20,17,130,16
B198,16,4,210,33
B199,21,5,90,20
B200,21,8,100,34
B201,17,10,70,16
B202,14,11,160,20
B203,1,14,140,28
B204,22,1,130,11
B205,4,9,70,28
B206,2,16,160,9
B207,22,17,40,27
B208,1,20,110,12
B209,14,8,160,25
B210,11,16,70,18
B211,5,17,160,27
B212,1,14,230,23
B213,6,13,90,26
B214,18,19,70,15
B215,23,15,60,16
B216,8,17,100,19
B217,22,14,150,30
B218,1,14,80,33
B219,5,9,140,10
B220,3,8,160,18
B221,1,20,110,14
B222,1,14,100,12
B223,24,3,220,33
B224,16,4,190,14
B225,18,10,60,20
B226,22,6,80,29
B227,8,21,240,30
B228,18,19,60,23
B229,20,9,120,27
B230,22,13,80,17
B231,5,19,140,29
B232,3,23,130,21
B233,5,2,150,14
B234,21,23,140,16
B235,14,1,190,20
B236,6,23,170,23
B237,22,8,150,11
B238,12,24,140,17
B239,23,3,50,23
B240,23,1,40,14
B241,16,14,70,15
B242,22,19,50,22
B243,8,21,110,13
B244,14,17,80,8
B245,16,4,90,19
B246,22,12,80,16
B247,21,8,180,12
B248,10,18,120,33
B249,1,14,190,15
B250,16,11,80,26
