bid_id,source,sink,quantity,price,awarded_mw
B1,10,18,160.0,33.0,160.0
B2,10,20,120.0,12.0,120.0
B3,1,16,30.0,29.0,30.0
B4,19,10,130.0,25.0,130.0
B5,16,4,100.0,27.0,100.0
B6,18,22,130.0,15.0,130.0
B7,9,20,150.0,12.0,150.0
B8,12,6,110.0,28.0,110.0
B9,22,19,160.0,27.0,160.0
B10,5,2,80.0,30.0,80.0
B11,15,4,40.0,17.0,40.0
B12,14,17,150.0,25.0,150.0
B13,21,8,240.0,34.0,240.0
B14,9,18,140.0,11.0,0.0
B15,16,18,160.0,19.0,160.0
B16,1,11,30.0,21.0,30.0
B17,17,3,40.0,13.0,40.0
B18,3,12,80.0,14.0,80.0
B19,20,12,60.0,14.0,60.0
B20,4,16,70.0,13.0,70.0
B21,4,1,160.0,9.0,160.0
B22,8,21,230.0,24.0,230.0
B23,12,18,100.0,11.0,0.0
B24,6,7,140.0,30.0,0.0
B25,21,22,160.0,18.0,160.0
B26,8,21,100.0,34.0,100.0
B27,3,24,80.0,27.0,80.0
B28,8,14,50.0,24.0,50.0
B29,6,13,240.0,24.0,240.0
B30,20,16,140.0,28.0,140.0
B31,10,18,110.0,25.0,110.0
B32,9,16,80.0,8.0,39.483718250560976
B33,5,17,130.0,22.0,0.0
B34,16,11,140.0,22.0,140.0
B35,21,8,230.0,24.0,230.0
B36,15,10,50.0,29.0,50.0
B37,5,1,150.0,29.0,150.0
B38,20,12,140.0,16.0,140.0
B39,21,8,230.0,27.0,230.0
B40,3,21,80.0,26.0,80.0
B41,9,3,140.0,20.0,140.0
B42,6,17,70.0,8.0,0.0
B43,24,19,60.0,10.0,60.0
B44,21,8,170.0,28.0,170.0
B45,13,16,110.0,14.0,110.0
B46,11,7,150.0,9.0,0.0
B47,5,9,150.0,29.0,150.0
B48,14,11,160.0,25.0,160.0
B49,18,19,110.0,17.0,110.0
B50,21,8,170.0,26.0,170.0
B51,11,23,120.0,26.0,120.0
B52,9,10,90.0,9.0,90.0
B53,23,4,70.0,24.0,70.0
B54,16,18,40.0,17.0,40.0
B55,7,1,30.0,18.0,30.0
B56,8,21,230.0,31.0,230.0
B57,13,21,150.0,22.0,150.0
B58,23,6,110.0,16.0,110.0
