bus,LMP,Load Cleared,Gen Cleared,Gen Cost,Gen Pmin,Gen Pmax
1,-12.0,,86.38322252109965,12.0,10.0,890.0
2,-12.048612497734245,,30.0,14.0,30.0,1010.0
3,-12.031720095804165,37.0,,,,
4,-12.0,32.14989775740707,,,,
5,5.0,,70.0,-5.0,0.0,1150.0
6,-12.439577605960764,16.0,,,,
7,-12.358032600020792,17.0,,,,
8,-10.000000000000002,,32.0,10.0,20.0,1450.0
9,-14.620883637372902,21.0,,,,
10,-20.999649491219387,0.0,,,,
11,-5.0,,65.0,5.0,0.0,1090.0
12,-17.0,51.437025569861916,,,,
13,7.0,,65.0,-7.0,0.0,1090.0
14,-22.0,15.585770795605933,,,,
15,-22.77359058233805,7.0,,,,
16,-23.0,7.750707498163404,,,,
17,-21.609353982020416,6.0,,,,
18,-22.15139949066275,3.0,,,,
19,-21.786093037945513,5.0,,,,
20,-21.593404626068388,3.0,,,,
21,-21.0,13.621968943531222,,,,
22,-21.000430570305916,4.0,,,,
23,-22.01539760600621,7.0,,,,
24,-21.004280129652777,6.0,,,,
25,-19.777513874397087,0.0,,,,
26,-19.777513874397087,25.0,,,,
27,-19.0,7.0,,,,
28,-17.0,29.73713210671933,,,,
29,-19.0,13.0,,,,
30,-19.0,21.10071984981077,,,,
