bus,price,amount,cleared
3,24,5.0,5.0
3,19,5.0,5.0
3,19,4.0,4.0
3,19,3.0,3.0
3,18,7.0,7.0
3,18,6.0,6.0
3,17,1.0,1.0
3,15,2.0,2.0
3,14,4.0,4.0
3,11,7.0,0.0
3,10,2.0,0.0
3,7,2.0,0.0
3,5,1.0,0.0
3,2,1.0,0.0
4,23,10.0,10.0
4,20,5.0,5.0
4,18,1.0,1.0
4,15,1.0,1.0
4,13,8.0,8.0
4,13,4.0,4.0
4,13,3.0,3.0
4,12,6.0,0.14989775740706607
4,12,2.0,0.0
4,10,1.0,0.0
4,9,4.0,0.0
4,8,6.0,0.0
4,7,7.0,0.0
4,4,9.0,0.0
4,4,6.0,0.0
4,4,3.0,0.0
4,2,3.0,0.0
4,2,1.0,0.0
6,21,5.0,5.0
6,18,2.0,2.0
6,17,5.0,5.0
6,17,1.0,1.0
6,13,3.0,3.0
6,10,2.0,0.0
6,8,4.0,0.0
6,8,2.0,0.0
6,7,4.0,0.0
6,5,7.0,0.0
6,5,3.0,0.0
7,22,5.0,5.0
7,22,3.0,3.0
7,17,1.0,1.0
7,14,2.0,2.0
7,13,6.0,6.0
7,10,10.0,0.0
7,8,8.0,0.0
7,8,5.0,0.0
7,8,4.0,0.0
7,3,5.0,0.0
9,24,7.0,7.0
9,24,5.0,5.0
9,24,4.0,4.0
9,23,1.0,1.0
9,22,1.0,1.0
9,17,3.0,3.0
9,12,2.0,0.0
9,8,4.0,0.0
9,8,1.0,0.0
9,7,9.0,0.0
9,7,8.0,0.0
9,5,6.0,0.0
9,5,1.0,0.0
9,4,12.0,0.0
9,4,6.0,0.0
9,4,2.0,0.0
9,3,3.0,0.0
10,18,2.0,0.0
10,17,3.0,0.0
10,15,5.0,0.0
10,15,5.0,0.0
10,14,2.0,0.0
10,9,5.0,0.0
10,9,1.0,0.0
10,7,7.0,0.0
10,7,2.0,0.0
10,6,3.0,0.0
10,2,9.0,0.0
12,24,9.0,9.0
12,22,2.0,2.0
12,21,6.0,6.0
12,21,2.0,2.0
12,21,1.0,1.0
12,20,12.0,12.0
12,18,14.0,14.0
12,17,7.0,5.43702556986192
12,17,3.0,0.0
12,15,3.0,0.0
12,14,1.0,0.0
12,11,2.0,0.0
12,10,6.0,0.0
12,10,2.0,0.0
12,7,1.0,0.0
12,5,3.0,0.0
12,3,4.0,0.0
12,2,4.0,0.0
14,24,2.0,2.0
14,22,13.0,13.0
14,22,4.0,0.585770795605933
14,20,4.0,0.0
14,18,2.0,0.0
14,17,3.0,0.0
14,16,4.0,0.0
14,14,5.0,0.0
14,12,3.0,0.0
14,6,6.0,0.0
15,23,7.0,7.0
15,22,13.0,0.0
15,21,2.0,0.0
