branch,flow_mw,limit_mva,abs_flow_mw,pct_of_limit
68  TO  116 CKT 1,-260.0,260.0,260.0,100.0
8  TO  30 CKT 1,-252.94996966258566,520.0,252.94996966258566,48.644224935112625
38  TO  65 CKT 1,-212.75865239451568,260.0,212.75865239451568,81.83025092096756
8  TO  5 CKT 1,198.94996966258566,260.0,198.94996966258566,76.51921910099448
77  TO  82 CKT 1,197.38503481996057,520.0,197.38503481996057,37.95866054230011
49  TO  66 CKT 1,-194.34634109207755,260.0,194.34634109207755,74.74859272772214
92  TO  93 CKT 1,190.31931647956534,260.0,190.31931647956534,73.19973710752514
77  TO  78 CKT 1,187.67894413550243,260.0,187.67894413550243,72.18420928288555
29  TO  31 CKT 1,-181.13996652883526,260.0,181.13996652883526,69.66921789570587
92  TO  102 CKT 1,169.0768003768691,520.0,169.0768003768691,32.51476930324406
26  TO  30 CKT 1,162.43210723783653,520.0,162.43210723783653,31.23694369958395
65  TO  68 CKT 1,-151.92153958935853,520.0,151.92153958935853,29.215680690261255
78  TO  79 CKT 1,149.6789441355024,520.0,149.6789441355024,28.784412333750463
18  TO  19 CKT 1,146.87188700978288,520.0,146.87188700978288,28.244593655727478
69  TO  77 CKT 1,-145.15281010857166,520.0,145.15281010857166,27.914001943956087
92  TO  94 CKT 1,144.9159164795654,520.0,144.9159164795654,27.8684454768395
34  TO  36 CKT 1,-138.06603194712383,260.0,138.06603194712383,53.10231997966301
17  TO  31 CKT 1,-136.13526893059628,260.0,136.13526893059628,52.35971881946011
31  TO  32 CKT 1,134.47768274878675,260.0,134.47768274878675,51.722185672610294
82  TO  83 CKT 1,131.11792368705142,520.0,131.11792368705142,25.214985324432963
19  TO  20 CKT 1,128.77785928388536,520.0,128.77785928388536,24.76497293920872
89  TO  92 CKT 1,-122.53325455114947,520.0,122.53325455114947,23.564087413682593
35  TO  36 CKT 1,-121.93396805287603,260.0,121.93396805287603,46.897680020336935
30  TO  38 CKT 1,-120.89012227428111,520.0,120.89012227428111,23.248100437361753
56  TO  58 CKT 1,118.27690428998501,520.0,118.27690428998501,22.74555851730481
77  TO  80 CKT 1,117.03580946129969,520.0,117.03580946129969,22.506886434865326
22  TO  23 CKT 1,-116.2221407161147,520.0,116.2221407161147,22.350411676175902
17  TO  18 CKT 1,-113.1281129902172,260.0,113.1281129902172,43.51081268854507
65  TO  66 CKT 1,-112.0043376407719,260.0,112.0043376407719,43.07859140029689
85  TO  86 CKT 1,110.0,260.0,110.0,42.30769230769231
16  TO  17 CKT 1,-107.63821038993098,260.0,107.63821038993098,41.39931168843499
88  TO  89 CKT 1,-104.19065814208629,520.0,104.19065814208629,20.036665027324286
