bid_id,source,sink,quantity,price,awarded_mw
B1,10,18,160.0,33.0,160.0
B2,10,20,120.0,12.0,120.0
B3,1,16,30.0,29.0,30.0
B4,10,18,150.0,22.0,150.0
B5,3,24,170.0,29.0,170.0
B6,22,21,60.0,11.0,60.0
B7,6,13,190.0,17.0,190.0
B8,8,22,120.0,27.0,120.0
B9,5,2,80.0,30.0,80.0
B10,8,21,100.0,21.0,100.0
B11,14,17,150.0,25.0,150.0
B12,21,8,240.0,34.0,240.0
B13,10,18,110.0,27.0,110.0
B14,12,19,60.0,8.0,60.0
B15,23,6,240.0,14.0,240.0
B16,6,13,100.0,23.0,100.0
B17,4,16,190.0,18.0,190.0
B18,3,24,160.0,17.0,160.0
B19,4,1,160.0,9.0,160.0
B20,8,21,230.0,24.0,230.0
B21,12,18,100.0,11.0,0.0
B22,6,13,180.0,14.0,165.0
B23,8,21,100.0,34.0,100.0
B24,3,24,80.0,27.0,80.0
B25,8,14,50.0,24.0,50.0
B26,6,13,240.0,24.0,240.0
B27,20,16,140.0,28.0,140.0
B28,10,18,110.0,25.0,110.0
B29,9,16,80.0,8.0,80.0
B30,5,17,130.0,22.0,0.0
B31,21,8,220.0,17.0,220.0
B32,21,8,230.0,24.0,230.0
B33,15,10,50.0,29.0,50.0
B34,5,1,150.0,29.0,94.88497902897764
B35,20,12,140.0,16.0,140.0
B36,21,8,230.0,27.0,230.0
B37,3,21,80.0,26.0,80.0
B38,18,10,200.0,31.0,200.0
B39,18,10,150.0,14.0,150.0
B40,21,8,170.0,28.0,170.0
B41,13,16,110.0,14.0,110.0
B42,11,7,150.0,9.0,0.0
B43,5,9,150.0,29.0,150.0
B44,14,11,160.0,25.0,160.0
B45,18,19,110.0,17.0,110.0
B46,21,8,170.0,26.0,170.0
B47,11,23,120.0,26.0,120.0
B48,9,10,90.0,9.0,90.0
B49,23,4,70.0,24.0,0.0
B50,21,8,110.0,21.0,110.0
B51,7,1,30.0,18.0,30.0
B52,8,21,230.0,31.0,230.0
B53,23,6,220.0,14.0,220.0
B54,16,4,110.0,16.0,0.0
B55,3,14,140.0,17.0,140.0
B56,8,21,230.0,33.0,230.0
B57,1,15,80.0,9.0,80.0
B58,1,14,220.0,25.0,220.0
