Bus
Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Dist MW,Dist Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
1,Kanawha,1,138.00,1.04000,143.520,0.00,478.66,128.85,55.00,17.00,0.00,0.00,,0.00,0.00,1,1
2,Turner,1,138.00,1.01000,139.380,-1.19,0.00,-0.75,3.00,88.00,0.00,0.00,,0.00,0.00,1,1
3,Logan,1,138.00,0.98500,135.930,-5.99,40.00,-0.90,41.00,21.00,0.00,0.00,,0.00,0.00,1,1
4,Sprigg,1,138.00,0.98078,135.348,-7.34,,,,,,,,0.00,0.00,1,1
5,Bus 5,1,138.00,0.97650,134.757,-8.55,,,13.00,4.00,0.00,0.00,,0.00,0.00,1,1
6,Beaver C,1,138.00,0.98000,135.240,-8.67,0.00,0.87,75.00,2.00,0.00,0.00,,0.00,0.00,1,1
7,Bus 7,1,138.00,0.98420,135.820,-7.60,,,,,,,,0.00,0.00,1,1
8,Clinch R,1,138.00,1.00500,138.690,-4.48,450.00,62.10,150.00,22.00,0.00,0.00,,0.00,0.00,1,1
9,Saltvill,1,138.00,0.98000,135.240,-9.58,0.00,2.29,121.00,26.00,0.00,0.00,,0.00,0.00,1,1
10,Bus 10,1,138.00,0.98624,136.101,-11.45,,,5.00,2.00,0.00,0.00,,0.00,0.00,1,1
11,Tazewell,1,138.00,0.97396,134.406,-10.19,,,,,,,,0.00,0.00,1,1
12,Glen Lyn,1,138.00,1.01500,140.070,-10.47,310.00,128.63,377.00,24.00,0.00,0.00,,0.00,0.00,1,1
13,Bus 13,1,138.00,0.97889,135.087,-9.80,,,18.00,2.30,0.00,0.00,,0.00,0.00,1,1
14,Bus 14,1,138.00,0.97018,133.885,-9.35,,,10.50,5.30,0.00,0.00,,0.00,0.00,1,1
15,Bus 15,1,138.00,0.98803,136.348,-7.19,,,22.00,5.00,0.00,0.00,,0.00,0.00,1,1
16,Bus 16,1,138.00,1.01337,139.845,-8.86,,,43.00,3.00,0.00,0.00,,0.00,0.00,1,1
17,Bus 17,1,138.00,1.01745,140.408,-5.40,,,42.00,8.00,0.00,0.00,,0.00,0.00,1,1
18,Sprigg,1,138.00,1.00066,138.091,-11.73,,,27.20,9.80,0.00,0.00,10.01,0.00,0.00,1,1
19,Bus 19,1,138.00,0.97016,133.882,-13.23,,,3.30,0.60,0.00,0.00,,0.00,0.00,1,1
20,Bus 20,1,138.00,0.96379,133.003,-13.44,,,2.30,1.00,0.00,0.00,,0.00,0.00,1,1
21,Bus 21,1,138.00,1.00850,139.173,-12.93,,,,,,,,0.00,0.00,1,1
22,Bus 22,1,138.00,1.00974,139.344,-12.87,,,,,,,,0.00,0.00,1,1
23,Bus 23,1,138.00,1.00833,139.150,-12.94,,,6.30,2.10,0.00,0.00,,0.00,0.00,1,1
24,Bus 24,1,138.00,0.99923,137.894,-13.29,,,,,,,,0.00,0.00,1,1
25,Bus 25,1,138.00,0.98252,135.588,-18.17,,,6.30,3.20,0.00,0.00,5.70,0.00,0.00,1,1
26,Bus 26,1,138.00,0.95882,132.317,-12.98,,,,,,,,0.00,0.00,1,1
27,Bus 27,1,138.00,0.98154,135.453,-11.51,,,9.30,0.50,0.00,0.00,,0.00,0.00,1,1
28,Bus 28,1,138.00,0.99668,137.542,-10.48,,,4.60,2.30,0.00,0.00,,0.00,0.00,1,1
29,Bus 29,1,138.00,1.01022,139.410,-9.77,,,17.00,2.60,0.00,0.00,,0.00,0.00,1,1
30,Bus 30,1,138.00,0.96266,132.847,-18.72,,,3.60,1.80,0.00,0.00,,0.00,0.00,1,1
31,Bus 31,1,138.00,0.93593,129.158,-19.38,,,5.80,2.90,0.00,0.00,,0.00,0.00,1,1
32,Bus 32,1,138.00,0.94987,131.082,-18.51,,,1.60,0.80,0.00,0.00,,0.00,0.00,1,1
33,Bus 33,1,138.00,0.94758,130.766,-18.55,,,3.80,1.90,0.00,0.00,,0.00,0.00,1,1
34,Bus 34,1,138.00,0.95920,132.370,-14.15,,,,,,,,0.00,0.00,1,1
35,Bus 35,1,138.00,0.96621,133.337,-13.91,,,6.00,3.00,0.00,0.00,,0.00,0.00,1,1
36,Bus 36,1,138.00,0.97583,134.665,-13.63,,,,,,,,0.00,0.00,1,1
37,Bus 37,1,138.00,0.98489,135.915,-13.45,,,,,,,,0.00,0.00,1,1
38,Bus 38,1,138.00,1.01281,139.768,-12.73,,,14.00,7.00,0.00,0.00,,0.00,0.00,1,1
39,Bus 39,1,138.00,0.98282,135.629,-13.49,,,,,,,,0.00,0.00,1,1
40,Bus 40,1,138.00,0.97281,134.248,-13.66,,,,,,,,0.00,0.00,1,1
41,Tazewell,1,138.00,0.99622,137.478,-14.08,,,6.30,3.00,0.00,0.00,,0.00,0.00,1,1
42,Bus 42,1,138.00,0.96653,133.381,-15.53,,,7.10,4.40,0.00,0.00,,0.00,0.00,1,1
43,Tazewell,1,138.00,1.00956,139.319,-11.35,,,2.00,1.00,0.00,0.00,,0.00,0.00,1,1
44,Bus 44,1,138.00,1.01680,140.318,-11.86,,,12.00,1.80,0.00,0.00,,0.00,0.00,1,1
45,Bus 45,1,138.00,1.03600,142.968,-9.27,,,,,,,,0.00,0.00,1,1
46,Bus 46,1,138.00,1.05980,146.252,-11.12,,,,,,,,0.00,0.00,1,1
47,Bus 47,1,138.00,1.03325,142.589,-12.51,,,29.70,11.60,0.00,0.00,,0.00,0.00,1,1
48,Bus 48,1,138.00,1.02735,141.774,-12.61,,,,,,,,0.00,0.00,1,1
49,Bus 49,1,138.00,1.03625,143.003,-12.94,,,18.00,8.50,0.00,0.00,,0.00,0.00,1,1
50,Bus 50,1,138.00,1.02334,141.221,-13.41,,,21.00,10.50,0.00,0.00,,0.00,0.00,1,1
51,Bus 51,1,138.00,1.05226,145.212,-12.53,,,18.00,5.30,0.00,0.00,,0.00,0.00,1,1
52,Bus 52,1,138.00,0.98037,135.291,-11.50,,,4.90,2.20,0.00,0.00,,0.00,0.00,1,1
53,Bus 53,1,138.00,0.97095,133.991,-12.25,,,20.00,10.00,0.00,0.00,5.94,0.00,0.00,1,1
54,Bus 54,1,138.00,0.99632,137.492,-11.71,,,4.10,1.40,0.00,0.00,,0.00,0.00,1,1
55,Saltvill,1,138.00,1.03079,142.249,-10.80,,,6.80,3.40,0.00,0.00,,0.00,0.00,1,1
56,Bus 56,1,138.00,0.96837,133.635,-16.07,,,7.60,2.20,0.00,0.00,,0.00,0.00,1,1
57,Bus 57,1,138.00,0.96483,133.147,-16.58,,,6.70,2.00,0.00,0.00,,0.00,0.00,1,1
