From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Lim MVA B,Lim MVA C
1,1,5,1,1,Closed,Line,NO,0.001,0.006,0.0,260.0,0.0,0.0
2,1,6,1,1,Closed,Line,NO,0.001,0.009,0.0,520.0,0.0,0.0
2,1,8,1,1,Closed,Line,NO,0.006,0.027,0.054,520.0,0.0,0.0
3,1,1,1,1,Closed,Transformer,YES,0.0,0.052,0.0,260.0,0.0,0.0
3,1,2,1,1,Closed,Transformer,YES,0.0,0.052,0.0,520.0,0.0,0.0
3,1,4,1,1,Closed,Transformer,YES,0.0,0.005,0.0,260.0,0.0,0.0
3,1,7,1,1,Closed,Line,NO,0.0,0.003,0.0,260.0,0.0,0.0
3,1,19,1,1,Closed,Line,NO,0.008,0.069,0.139,520.0,0.0,0.0
3,1,150,2,1,Closed,Line,NO,0.001,0.007,0.0,260.0,0.0,0.0
4,1,16,1,1,Closed,Line,NO,0.002,0.019,1.127,520.0,0.0,0.0
5,1,9,1,1,Closed,Line,NO,0.006,0.029,0.018,520.0,0.0,0.0
7,1,5,1,1,Closed,Transformer,YES,0.0,0.039,0.0,260.0,0.0,0.0
7,1,6,1,1,Closed,Transformer,YES,0.0,0.039,0.0,520.0,0.0,0.0
7,1,12,1,1,Closed,Line,NO,0.001,0.009,0.07,520.0,0.0,0.0
7,1,131,2,1,Closed,Line,NO,0.001,0.007,0.014,260.0,0.0,0.0
8,1,11,1,1,Closed,Line,NO,0.013,0.0595,0.033,520.0,0.0,0.0
8,1,14,1,1,Closed,Line,NO,0.013,0.042,0.081,520.0,0.0,0.0
9,1,11,1,1,Closed,Line,NO,0.006,0.027,0.013,520.0,0.0,0.0
10,1,11,1,1,Closed,Transformer,YES,0.0,0.089,0.0,260.0,0.0,0.0
11,1,13,1,1,Closed,Line,NO,0.008,0.034,0.018,260.0,0.0,0.0
12,1,10,1,1,Closed,Transformer,YES,0.0,0.053,0.0,520.0,0.0,0.0
12,1,21,1,1,Closed,Line,NO,0.002,0.015,0.118,260.0,0.0,0.0
13,1,20,1,1,Closed,Line,NO,0.006,0.034,0.016,520.0,0.0,0.0
14,1,15,1,1,Closed,Line,NO,0.014,0.042,0.097,520.0,0.0,0.0
15,1,17,1,1,Closed,Transformer,YES,0.0194,0.0311,0.0,260.0,0.0,0.0
