Branch
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Lim MVA B,Lim MVA C
1,1,2,2,1,Closed,Line,NO,0.00350,0.04110,0.69870,0.0,0.0,1.0
1,1,39,39,1,Closed,Line,NO,0.00100,0.02500,0.75000,0.0,0.0,1.0
2,2,3,3,1,Closed,Line,NO,0.00130,0.01510,0.25720,0.0,0.0,1.0
2,2,25,25,1,Closed,Line,NO,0.00700,0.00860,0.14600,0.0,0.0,1.0
2,2,30,30,1,Closed,Transformer,YES,0.00000,0.01810,0.00000,0.0,0.0,0.0
3,3,4,4,1,Closed,Line,NO,0.00130,0.02130,0.22140,0.0,0.0,1.0
3,3,18,18,1,Closed,Line,NO,0.00110,0.01330,0.21380,0.0,0.0,1.0
4,4,5,5,1,Closed,Line,NO,0.00080,0.01280,0.13420,0.0,0.0,1.0
4,4,14,14,1,Closed,Line,NO,0.00080,0.01290,0.13820,0.0,0.0,1.0
5,5,6,6,1,Closed,Line,NO,0.00020,0.00260,0.04340,0.0,0.0,1.0
5,5,8,8,1,Closed,Line,NO,0.00080,0.01120,0.14760,0.0,0.0,1.0
6,6,7,7,1,Closed,Line,NO,0.00060,0.00920,0.11300,0.0,0.0,1.0
6,6,11,11,1,Closed,Line,NO,0.00070,0.00820,0.13890,0.0,0.0,1.0
7,7,8,8,1,Closed,Line,NO,0.00040,0.00460,0.07800,0.0,0.0,1.0
8,8,9,9,1,Closed,Line,NO,0.00230,0.03630,0.38040,0.0,0.0,1.0
9,9,39,39,1,Closed,Line,NO,0.00100,0.02500,1.20000,0.0,0.0,1.0
10,10,11,11,1,Closed,Line,NO,0.00040,0.00430,0.07290,0.0,0.0,1.0
10,10,13,13,1,Closed,Line,NO,0.00040,0.00430,0.07290,0.0,0.0,1.0
10,10,32,32,1,Closed,Transformer,YES,0.00000,0.02000,0.00000,0.0,0.0,0.0
12,12,11,11,1,Closed,Transformer,YES,0.00160,0.04350,0.00000,0.0,0.0,0.0
12,12,13,13,1,Closed,Transformer,YES,0.00160,0.04350,0.00000,0.0,0.0,0.0
13,13,14,14,1,Closed,Line,NO,0.00090,0.01010,0.17230,0.0,0.0,1.0
14,14,15,15,1,Closed,Line,NO,0.00180,0.02170,0.36600,0.0,0.0,1.0
15,15,16,16,1,Closed,Line,NO,0.00090,0.00940,0.17100,0.0,0.0,1.0
16,16,17,17,1,Closed,Line,NO,0.00070,0.00890,0.13420,0.0,0.0,1.0
16,16,19,19,1,Closed,Line,NO,0.00160,0.01950,0.30400,0.0,0.0,1.0
16,16,21,21,1,Closed,Line,NO,0.00080,0.01350,0.25480,0.0,0.0,1.0
16,16,24,24,1,Closed,Line,NO,0.00030,0.00590,0.06800,0.0,0.0,1.0
17,17,18,18,1,Closed,Line,NO,0.00070,0.00820,0.13190,0.0,0.0,1.0
17,17,27,27,1,Closed,Line,NO,0.00130,0.01730,0.32160,0.0,0.0,1.0
19,19,20,20,1,Closed,Transformer,YES,0.00070,0.01380,0.00000,0.0,0.0,0.0
19,19,33,33,1,Closed,Transformer,YES,0.00070,0.01420,0.00000,0.0,0.0,0.0
20,20,34,34,1,Closed,Transformer,YES,0.00090,0.01800,0.00000,0.0,0.0,0.0
21,21,22,22,1,Closed,Line,NO,0.00080,0.01400,0.25650,0.0,0.0,1.0
22,22,23,23,1,Closed,Line,NO,0.00060,0.00960,0.18460,0.0,0.0,1.0
22,22,35,35,1,Closed,Transformer,YES,0.00000,0.01430,0.00000,0.0,0.0,0.0
23,23,24,24,1,Closed,Line,NO,0.00220,0.03500,0.36100,0.0,0.0,1.0
23,23,36,36,1,Closed,Transformer,YES,0.00050,0.02720,0.00000,0.0,0.0,0.0
25,25,26,26,1,Closed,Line,NO,0.00320,0.03230,0.51300,0.0,0.0,1.0
25,25,37,37,1,Closed,Transformer,YES,0.00060,0.02320,0.00000,0.0,0.0,0.0
26,26,27,27,1,Closed,Line,NO,0.00140,0.01470,0.23960,0.0,0.0,1.0
26,26,28,28,1,Closed,Line,NO,0.00430,0.04740,0.78020,0.0,0.0,1.0
26,26,29,29,1,Closed,Line,NO,0.00570,0.06250,1.02900,0.0,0.0,1.0
28,28,29,29,1,Closed,Line,NO,0.00140,0.01510,0.24900,0.0,0.0,1.0
29,29,38,38,1,Closed,Transformer,YES,0.00080,0.01560,0.00000,0.0,0.0,0.0
31,31,6,6,1,Closed,Transformer,YES,0.00000,0.02500,0.00000,0.0,0.0,0.0
