Bus
Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Dist MW,Dist Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
1,1,1,1.000,1.05178,1.052,-8.57,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
2,2,1,1.000,1.05988,1.060,-6.13,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
3,3,1,1.000,1.05655,1.057,-8.95,,,322.00,2.40,0.00,0.00,,0.00,0.00,1,1
4,4,1,1.000,1.05919,1.059,-9.78,,,500.00,184.00,0.00,0.00,112.19,0.00,0.00,1,1
5,5,1,1.000,1.07359,1.074,-8.77,,,0.00,0.00,0.00,0.00,230.52,0.00,0.00,1,1
6,6,1,1.000,1.07428,1.074,-8.14,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
7,7,1,1.000,1.06115,1.061,-10.08,,,233.80,84.00,0.00,0.00,,0.00,0.00,1,1
8,8,1,1.000,1.05858,1.059,-10.52,,,522.00,176.00,0.00,0.00,,0.00,0.00,1,1
9,9,1,1.000,1.05402,1.054,-10.28,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
10,10,1,1.000,1.06106,1.061,-5.87,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
11,11,1,1.000,1.06429,1.064,-6.66,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
12,12,1,1.000,1.04934,1.049,-6.64,,,7.50,88.00,0.00,0.00,,0.00,0.00,1,1
13,13,1,1.000,1.05870,1.059,-6.52,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
14,14,1,1.000,1.05614,1.056,-8.03,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
15,15,1,1.000,1.04089,1.041,-8.31,,,320.00,153.00,0.00,0.00,,0.00,0.00,1,1
16,16,1,1.000,1.04853,1.049,-6.91,,,329.40,32.30,0.00,0.00,,0.00,0.00,1,1
17,17,1,1.000,1.05175,1.052,-7.87,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
18,18,1,1.000,1.05233,1.052,-8.69,,,158.00,30.00,0.00,0.00,,0.00,0.00,1,1
19,19,1,1.000,1.05599,1.056,-2.33,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
20,20,1,1.000,0.99422,0.994,-3.72,,,680.00,103.00,0.00,0.00,,0.00,0.00,1,1
21,21,1,1.000,1.04355,1.044,-4.55,,,274.00,115.00,0.00,0.00,,0.00,0.00,1,1
22,22,1,1.000,1.05611,1.056,-0.16,,,0.00,0.00,0.00,0.00,,0.00,0.00,1,1
23,23,1,1.000,1.05132,1.051,-0.35,,,247.50,84.60,0.00,0.00,,0.00,0.00,1,1
24,24,1,1.000,1.05258,1.053,-6.79,,,308.60,-92.20,0.00,0.00,,0.00,0.00,1,1
25,25,1,1.000,1.06582,1.066,-4.69,,,224.00,47.20,0.00,0.00,,0.00,0.00,1,1
26,26,1,1.000,1.06229,1.062,-5.97,,,139.00,17.00,0.00,0.00,,0.00,0.00,1,1
27,27,1,1.000,1.05173,1.052,-7.97,,,281.00,75.50,0.00,0.00,,0.00,0.00,1,1
28,28,1,1.000,1.05541,1.055,-2.49,,,206.00,27.60,0.00,0.00,,0.00,0.00,1,1
29,29,1,1.000,1.05357,1.054,0.25,,,283.50,26.90,0.00,0.00,,0.00,0.00,1,1
30,30,1,1.000,1.04750,1.048,-3.73,250.00,83.21,,,,,,0.00,0.00,1,1
31,31,1,1.000,0.98200,0.982,-1.59,571.28,363.95,9.20,4.60,0.00,0.00,,0.00,0.00,1,1
32,32,1,1.000,0.98310,0.983,1.79,650.00,1.53,,,,,,0.00,0.00,1,1
33,33,1,1.000,0.99720,0.997,2.87,632.00,69.67,,,,,,0.00,0.00,1,1
34,34,1,1.000,1.01230,1.012,1.46,508.00,148.79,,,,,,0.00,0.00,1,1
35,35,1,1.000,1.04930,1.049,4.78,650.00,167.04,,,,,,0.00,0.00,1,1
36,36,1,1.000,1.06350,1.064,7.46,560.00,75.45,,,,,,0.00,0.00,1,1
37,37,1,1.000,1.02780,1.028,2.05,540.00,-35.35,,,,,,0.00,0.00,1,1
38,38,1,1.000,1.02650,1.026,7.30,830.00,-0.47,,,,,,0.00,0.00,1,1
39,39,1,1.000,1.03000,1.030,-10.06,1000.00,-36.49,1104.00,250.00,0.00,0.00,,0.00,0.00,1,1
