branch,flow_mw,limit_mva,abs_flow_mw,pct_of_limit
2  TO  3 CKT 1,257.490007971514,520.0,257.490007971514,49.51730922529115
1  TO  15 CKT 1,255.3160767055083,520.0,255.3160767055083,49.09924552029006
37  TO  38 CKT 1,-199.26980699166612,260.0,199.26980699166612,76.64223345833312
3  TO  4 CKT 1,192.39906831746688,260.0,192.39906831746688,73.99964166056418
38  TO  48 CKT 1,-191.39415869690225,520.0,191.39415869690225,36.806568980173516
15  TO  45 CKT 1,181.97672262305562,520.0,181.97672262305562,34.99552358135685
12  TO  13 CKT 1,179.71187312134515,260.0,179.71187312134515,69.11995120051736
7  TO  8 CKT 1,-179.4982635831056,520.0,179.4982635831056,34.51889684290492
14  TO  46 CKT 1,178.5443181842049,520.0,178.5443181842049,34.33544580465479
1  TO  2 CKT 1,-175.39410620650978,260.0,175.39410620650978,67.45927161788838
7  TO  29 CKT 1,174.09540753269278,260.0,174.09540753269278,66.95977212795876
46  TO  47 CKT 1,168.54431818420488,520.0,168.54431818420488,32.41236888157786
9  TO  11 CKT 1,154.04015496786556,520.0,154.04015496786556,29.623106724589533
22  TO  38 CKT 1,-153.5439495290882,520.0,153.5439495290882,29.52768260174773
44  TO  45 CKT 1,-152.97672262305562,260.0,152.97672262305562,58.83720100886755
47  TO  48 CKT 1,152.5443181842049,260.0,152.5443181842049,58.670891609309585
14  TO  15 CKT 1,-143.5285074834891,260.0,143.5285074834891,55.20327210903427
36  TO  37 CKT 1,-136.623517348709,520.0,136.623517348709,26.27375333629019
13  TO  49 CKT 1,136.22884740903976,260.0,136.22884740903976,52.395710541938364
38  TO  44 CKT 1,-123.97672262305565,260.0,123.97672262305565,47.683354855021406
3  TO  15 CKT 1,118.07429655320865,260.0,118.07429655320865,45.41319098200333
28  TO  29 CKT 1,-109.86777191811294,260.0,109.86777191811294,42.25683535312036
10  TO  51 CKT 1,108.134877148534,520.0,108.134877148534,20.795168682410385
8  TO  9 CKT 1,-105.51133428347053,520.0,105.51133428347053,20.290641208359716
9  TO  55 CKT 1,99.98313870270395,520.0,99.98313870270395,19.227526673596913
13  TO  14 CKT 1,99.03692123481109,520.0,99.03692123481109,19.045561775925208
11  TO  43 CKT 1,97.29018543234739,260.0,97.29018543234739,37.41930208936438
38  TO  49 CKT 1,-88.45301856049237,260.0,88.45301856049237,34.02039175403552
27  TO  28 CKT 1,-86.86777191811295,520.0,86.86777191811295,16.70534075348326
35  TO  36 CKT 1,-86.03185673545661,260.0,86.03185673545661,33.08917566748332
4  TO  18 CKT 1,76.7920093445667,520.0,76.7920093445667,14.767694104724365
34  TO  35 CKT 1,-76.03185673545661,520.0,76.03185673545661,14.621510910664734
26  TO  27 CKT 1,-75.86777191811296,260.0,75.86777191811296,29.179912276197296
10  TO  12 CKT 1,-75.29161238907545,260.0,75.29161238907545,28.958312457336714
50  TO  51 CKT 1,-75.134877148534,260.0,75.134877148534,28.89802967251308
1  TO  17 CKT 1,73.85736286006062,260.0,73.85736286006062,28.406678023100238
41  TO  43 CKT 1,-70.29018543234737,520.0,70.29018543234737,13.517343352374494
9  TO  13 CKT 1,69.32776392472984,260.0,69.32776392472984,26.664524586434553
1  TO  16 CKT 1,68.56684602847928,520.0,68.56684602847928,13.185931928553707
21  TO  22 CKT 1,-65.51392648422689,520.0,65.51392648422689,12.598832016197479
6  TO  7 CKT 1,62.5782230927551,260.0,62.5782230927551,24.06854734336735
54  TO  55 CKT 1,-59.983138702703954,260.0,59.983138702703954,23.070437962578445
9  TO  10 CKT 1,59.772233792701016,520.0,59.772233792701016,11.494660344750196
11  TO  41 CKT 1,58.50087564989465,260.0,58.50087564989465,22.50033678842102
24  TO  25 CKT 1,57.968143264543386,520.0,57.968143264543386,11.147719858566036
22  TO  23 CKT 1,56.01984390169337,520.0,56.01984390169337,10.773046904171801
24  TO  26 CKT 1,-53.86777191811295,520.0,53.86777191811295,10.359186907329413
41  TO  42 CKT 1,52.59406261181407,520.0,52.59406261181407,10.114242809964244
48  TO  49 CKT 1,-49.840640512697334,260.0,49.840640512697334,19.169477120268205
34  TO  32 CKT 1,48.03185673545662,260.0,48.03185673545662,18.4737910520987
12  TO  17 CKT 1,-46.857362860060654,520.0,46.857362860060654,9.011031319242434
56  TO  41 CKT 1,-41.21767634775045,520.0,41.21767634775045,7.9264762207212405
13  TO  15 CKT 1,-40.86379586843252,520.0,40.86379586843252,7.858422282390869
6  TO  8 CKT 1,-36.99557465395025,520.0,36.99557465395025,7.114533587298125
53  TO  54 CKT 1,-36.98313870270396,520.0,36.98313870270396,7.112142058212299
4  TO  5 CKT 1,35.700884886461964,520.0,35.700884886461964,6.86555478585807
25  TO  30 CKT 1,32.968143264543386,260.0,32.968143264543386,12.680055101747456
23  TO  24 CKT 1,31.019843901693367,260.0,31.019843901693367,11.930709192958988
18  TO  19 CKT 1,29.7920093445667,520.0,29.7920093445667,5.7292325662628265
11  TO  13 CKT 1,-28.764605310020222,520.0,28.764605310020222,5.531654867311581
29  TO  52 CKT 1,28.016861297296046,520.0,28.016861297296046,5.387857941787701
12  TO  16 CKT 1,-27.56684602847923,260.0,27.56684602847923,10.602633087876628
37  TO  39 CKT 1,24.623688838600913,520.0,24.623688838600913,4.735324776654021
4  TO  6 CKT 1,23.8823980699694,260.0,23.8823980699694,9.185537719218999
36  TO  40 CKT 1,23.56377220183458,520.0,23.56377220183458,4.531494654198958
57  TO  56 CKT 1,-22.376311161399087,260.0,22.376311161399087,8.606273523615034
49  TO  50 CKT 1,-21.13487714853401,260.0,21.13487714853401,8.128798903282311
31  TO  32 CKT 1,-19.03185673545661,260.0,19.03185673545661,7.319944898252543
5  TO  6 CKT 1,-18.299115113538026,520.0,18.299115113538026,3.5190605987573127
30  TO  31 CKT 1,14.968143264543393,520.0,14.968143264543393,2.878489089335268
56  TO  42 CKT 1,-11.594062611814056,520.0,11.594062611814056,2.229627425348857
32  TO  33 CKT 1,10.0,260.0,10.0,3.8461538461538463
39  TO  57 CKT 1,8.623688838600915,260.0,8.623688838600915,3.3168033994618904
21  TO  20 CKT 1,8.513926484226893,260.0,8.513926484226893,3.2745871093180354
52  TO  53 CKT 1,-3.9831387027039487,260.0,3.9831387027039487,1.5319764241169034
9  TO  12 CKT 1,1.7962466046119516,260.0,1.7962466046119516,0.6908640786969045
40  TO  56 CKT 1,0.5637722018345834,260.0,0.5637722018345834,0.21683546224407055
19  TO  20 CKT 1,0.4860735157731073,260.0,0.4860735157731073,0.1869513522204259
