bid_id,source,sink,quantity,price,awarded_mw
B1,10,18,160.0,33.0,160.0
B2,10,20,120.0,12.0,120.0
B3,1,14,90.0,33.0,90.0
B4,10,18,150.0,22.0,150.0
B5,3,24,170.0,29.0,170.0
B6,22,21,60.0,11.0,60.0
B7,6,13,190.0,17.0,190.0
B8,8,21,120.0,13.0,120.0
B9,21,8,220.0,15.0,0.0
B10,10,14,110.0,25.0,110.0
B11,21,8,240.0,34.0,240.0
B12,10,18,110.0,27.0,110.0
B13,16,4,80.0,22.0,80.0
B14,10,18,100.0,17.0,0.0
B15,3,24,140.0,22.0,140.0
B16,4,16,110.0,27.0,110.0
B17,21,8,110.0,12.0,0.0
B18,2,7,70.0,14.0,0.0
B19,21,8,200.0,32.0,200.0
B20,8,21,110.0,17.0,110.0
B21,23,21,130.0,18.0,130.0
B22,8,21,100.0,34.0,100.0
B23,3,24,80.0,27.0,80.0
B24,8,14,50.0,24.0,50.0
B25,6,13,240.0,24.0,240.0
B26,21,8,80.0,20.0,0.0
B27,3,24,90.0,20.0,90.0
B28,1,14,120.0,28.0,120.0
B29,21,8,230.0,22.0,185.0
B30,13,6,140.0,17.0,140.0
B31,21,8,220.0,21.0,0.0
B32,13,6,240.0,31.0,240.0
B33,18,10,150.0,12.0,150.0
B34,21,8,100.0,32.0,100.0
B35,16,4,100.0,35.0,100.0
B36,6,13,80.0,25.0,80.0
B37,8,21,100.0,31.0,100.0
B38,10,18,200.0,27.0,200.0
B39,3,24,140.0,13.0,0.0
B40,6,13,210.0,22.0,210.0
B41,23,8,110.0,26.0,0.0
B42,18,10,220.0,29.0,220.0
B43,21,8,180.0,34.0,180.0
B44,10,18,90.0,28.0,90.0
B45,3,24,220.0,27.0,220.0
B46,16,18,40.0,17.0,0.0
B47,21,8,180.0,14.0,0.0
B48,10,18,230.0,24.0,230.0
B49,8,21,210.0,22.0,210.0
B50,24,3,160.0,14.0,160.0
B51,23,10,100.0,15.0,100.0
B52,16,22,160.0,18.0,85.35914903788695
B53,4,16,90.0,26.0,90.0
B54,23,6,150.0,18.0,150.0
B55,21,8,140.0,32.0,140.0
B56,14,1,110.0,25.0,110.0
B57,18,9,30.0,10.0,30.0
B58,24,3,180.0,31.0,180.0
B59,24,3,150.0,22.0,150.0
B60,6,13,120.0,29.0,120.0
B61,16,4,150.0,25.0,150.0
B62,16,4,180.0,26.0,180.0
B63,21,8,120.0,27.0,120.0
B64,21,8,120.0,21.0,0.0
B65,4,16,160.0,28.0,160.0
B66,19,6,140.0,19.0,140.0
B67,13,6,100.0,34.0,100.0
B68,18,22,60.0,16.0,60.0
B69,14,1,160.0,12.0,160.0
B70,16,4,230.0,15.0,175.0
B71,13,6,90.0,25.0,90.0
B72,16,4,160.0,14.0,0.0
B73,8,10,120.0,28.0,120.0
B74,4,12,150.0,11.0,150.0
B75,8,21,180.0,16.0,180.0
