bus,LMP,Load Cleared,Gen Cleared,Gen Cost,Gen Pmin,Gen Pmax
1,6.136721828211191,,30.0,14.0,30.0,890.0
2,-8.0,,350.00000000000006,-8.0,0.0,1010.0
3,7.319936958234831,36.0,,,,
4,14.0,38.76122931442171,,,,
5,5.66233254531127,34.0,,,,
6,3.3951930654058327,56.0,,,,
7,6.715918045705281,,0.0,9.0,0.0,1150.0
8,6.715918045705281,36.0,,,,
9,8.268715524034674,46.0,,,,
10,5.16587864460205,50.0,,,,
11,6.773837667454689,79.0,,,,
12,6.760047281323878,53.0,,,,
13,6.776595744680852,,10.0,13.0,10.0,1450.0
14,6.826241134751774,,30.0,14.0,30.0,1090.0
15,7.000000000000001,,122.76122931442166,7.0,0.0,1090.0
16,6.875886524822696,,30.0,12.0,30.0,1550.0
17,6.920015760441293,67.0,,,,
18,6.939322301024429,,40.0,13.0,40.0,1180.0
19,6.851063829787234,52.0,,,,
20,6.828999211977936,52.0,,,,
21,6.958628841607566,,0.0,7.0,0.0,900.0
22,6.9420803782505915,,10.0,12.0,10.0,1430.0
23,6.817966903073287,,30.0,14.0,30.0,1300.0
24,7.1213553979511435,53.0,,,,
