bid_id,source,sink,quantity,price
B1,10,18,160,33
B2,10,20,120,12
B3,1,14,90,33
B4,10,18,150,22
B5,3,24,170,29
B6,22,21,60,11
B7,6,13,190,17
B8,8,21,120,13
B9,21,8,220,15
B10,10,14,110,25
B11,21,8,240,34
B12,10,18,110,27
B13,16,4,80,22
B14,10,18,100,17
B15,3,24,140,22
B16,4,16,110,27
B17,21,8,110,12
B18,2,7,70,14
B19,16,13,130,14
B20,8,21,110,17
B21,23,21,130,18
B22,8,21,100,34
B23,3,24,80,27
B24,8,14,50,24
B25,6,13,240,24
B26,21,8,80,20
B27,17,19,150,11
B28,2,9,100,18
B29,6,13,220,24
B30,11,23,100,13
B31,21,8,230,24
B32,15,10,50,29
B33,5,1,150,29
B34,16,4,120,23
B35,21,8,100,32
B36,16,4,100,35
B37,6,13,80,25
B38,19,8,40,10
B39,1,10,110,29
B40,16,17,60,10
B41,8,21,240,16
B42,22,14,80,25
B43,18,19,110,17
B44,21,8,170,26
B45,11,23,120,26
B46,10,18,90,28
B47,3,24,220,27
B48,16,18,40,17
B49,21,8,180,14
B50,10,18,230,24
B51,15,3,50,21
B52,24,3,160,14
B53,23,10,100,15
B54,16,22,160,18
B55,4,16,90,26
B56,23,6,150,18
B57,21,8,140,32
B58,14,1,110,25
B59,18,9,30,10
B60,24,3,180,31
B61,24,3,150,22
B62,6,13,120,29
B63,16,4,150,25
B64,16,4,180,26
B65,21,8,120,27
B66,16,14,160,12
B67,8,21,140,31
B68,8,21,130,35
B69,12,1,60,12
B70,3,24,150,20
B71,14,1,160,12
B72,11,18,70,23
B73,13,6,90,25
B74,16,4,160,14
B75,8,10,120,28
B76,4,12,150,11
B77,8,21,180,16
B78,10,18,90,13
B79,11,1,160,23
B80,19,1,80,10
B81,6,13,100,13
B82,16,4,80,13
B83,1,3,50,9
B84,5,17,80,17
B85,23,6,220,18
B86,21,13,120,28
B87,2,20,60,16
B88,19,5,160,30
B89,9,3,140,9
B90,24,3,130,28
