bus,LMP,Load Cleared,Gen Cleared,Gen Cost,Gen Pmin,Gen Pmax
1,7.0,,222.38068599759015,7.0,0.0,890.0
2,-7.0,,432.8841141780236,-7.0,0.0,1010.0
3,-7.0,,52.99195643767227,-7.0,0.0,1150.0
4,0.24632298948479647,56.0,,,,
5,3.8734157218636494,54.0,,,,
6,5.632898737699106,,20.0,12.0,20.0,1450.0
7,8.983847623572817,68.0,,,,
8,10.999999999999998,,110.94003639899957,11.0,10.0,1090.0
9,11.0,,490.53893791266927,11.0,10.0,1090.0
10,11.148624811808281,27.0,,,,
11,13.648616437304243,27.0,,,,
12,10.0,,178.77877322476226,10.0,40.0,1550.0
13,15.827663214203945,26.0,,,,
14,17.182513987061714,64.0,,,,
15,19.30271647539412,7.0,,,,
16,9.151492965616725,41.0,,,,
17,8.129501692022084,27.0,,,,
18,3.7173572846890313,47.0,,,,
19,8.000000000000002,29.305935828793594,,,,
20,10.713533987793571,9.0,,,,
21,15.57054612408092,57.0,,,,
22,16.30225285095908,32.0,,,,
23,16.23301250299659,25.0,,,,
24,15.092472445669102,27.0,,,,
25,15.256550652714783,25.0,,,,
26,14.875673766208195,22.0,,,,
27,13.70778757083155,11.0,,,,
28,13.268998581687534,23.0,,,,
29,13.0,36.20856832092369,,,,
30,15.284120027849388,18.0,,,,
31,15.353134411701824,34.0,,,,
32,15.458411045838007,19.0,,,,
33,15.458411045838007,10.0,,,,
34,15.590869273553118,28.0,,,,
35,15.60179565114138,10.0,,,,
36,15.608488049918371,27.0,,,,
37,15.645532876965515,38.0,,,,
38,15.806343746411205,51.0,,,,
39,15.619118228147961,16.0,,,,
40,15.569869411907254,23.0,,,,
41,14.122144366705314,35.0,,,,
42,14.35075380323227,41.0,,,,
43,13.77662516321012,27.0,,,,
44,16.51921800891922,29.0,,,,
45,18.03231627911459,29.0,,,,
46,16.629473718628464,10.0,,,,
47,16.11645522964401,16.0,,,,
48,15.94316420773313,11.0,,,,
49,15.332268019221873,19.0,,,,
50,14.055659132800507,54.0,,,,
51,11.858260169472539,33.0,,,,
52,12.989532601393753,32.0,,,,
53,12.98368962458439,33.0,,,,
54,12.970926769087617,23.0,,,,
55,12.957026442238618,40.0,,,,
56,14.578872444813387,31.0,,,,
57,14.746844477003926,31.0,,,,
