bus,price,amount,cleared
4,24,5.0,5.0
4,24,5.0,5.0
4,22,4.0,4.0
4,21,2.0,2.0
4,21,1.0,1.0
4,18,4.0,4.0
4,18,1.0,1.0
4,17,4.0,4.0
4,15,4.0,4.0
4,14,5.0,5.0
4,9,7.0,7.0
4,9,2.0,2.0
4,7,6.0,6.0
4,7,3.0,3.0
4,7,2.0,2.0
4,6,1.0,1.0
5,22,8.0,8.0
5,21,1.0,1.0
5,20,3.0,3.0
5,20,1.0,1.0
5,18,3.0,3.0
5,17,9.0,9.0
5,15,1.0,1.0
5,12,7.0,7.0
5,11,2.0,2.0
5,10,6.0,6.0
5,6,3.0,3.0
5,5,10.0,10.0
5,3,1.0,0.0
5,2,6.0,0.0
7,24,4.0,4.0
7,23,2.0,2.0
7,22,10.0,10.0
7,21,7.0,7.0
7,17,5.0,5.0
7,17,3.0,3.0
7,16,6.0,6.0
7,16,5.0,5.0
7,16,3.0,3.0
7,14,8.0,8.0
7,14,5.0,5.0
7,12,2.0,2.0
7,11,5.0,5.0
7,11,1.0,1.0
7,9,2.0,2.0
7,8,4.0,0.0
7,7,5.0,0.0
7,7,2.0,0.0
7,6,3.0,0.0
7,6,1.0,0.0
10,24,1.0,1.0
10,23,4.0,4.0
10,21,6.0,6.0
10,18,6.0,6.0
10,13,7.0,7.0
10,13,3.0,3.0
10,10,8.0,0.0
10,9,5.0,0.0
10,6,4.0,0.0
10,2,1.0,0.0
11,22,2.0,2.0
11,21,4.0,4.0
11,21,3.0,3.0
11,20,3.0,3.0
11,20,2.0,2.0
11,18,1.0,1.0
11,17,1.0,1.0
11,15,2.0,2.0
11,14,9.0,9.0
11,12,6.0,0.0
11,12,1.0,0.0
11,11,5.0,0.0
11,10,9.0,0.0
11,7,2.0,0.0
11,4,12.0,0.0
11,4,5.0,0.0
11,2,5.0,0.0
13,23,9.0,9.0
13,21,1.0,1.0
13,18,6.0,6.0
13,18,3.0,3.0
13,18,3.0,3.0
13,17,4.0,4.0
13,14,2.0,0.0
13,12,14.0,0.0
13,11,2.0,0.0
13,9,2.0,0.0
13,8,12.0,0.0
13,8,6.0,0.0
13,8,1.0,0.0
13,6,4.0,0.0
13,4,7.0,0.0
13,4,3.0,0.0
13,4,2.0,0.0
13,3,3.0,0.0
13,2,1.0,0.0
14,24,11.0,11.0
14,24,4.0,4.0
14,21,2.0,2.0
14,20,13.0,13.0
14,20,13.0,13.0
14,19,8.0,8.0
14,19,4.0,4.0
14,19,4.0,4.0
14,19,2.0,2.0
14,18,3.0,3.0
14,16,2.0,0.0
14,16,1.0,0.0
14,15,2.0,0.0
14,14,2.0,0.0
14,12,7.0,0.0
14,12,4.0,0.0
14,11,14.0,0.0
14,11,5.0,0.0
14,9,6.0,0.0
14,6,3.0,0.0
15,24,7.0,7.0
15,19,11.0,0.0
15,19,6.0,0.0
15,18,11.0,0.0
15,18,3.0,0.0
15,17,5.0,0.0
15,17,3.0,0.0
15,17,1.0,0.0
15,16,10.0,0.0
15,15,7.0,0.0
15,11,5.0,0.0
15,11,4.0,0.0
15,10,6.0,0.0
15,10,3.0,0.0
15,9,5.0,0.0
15,5,3.0,0.0
15,5,3.0,0.0
15,3,1.0,0.0
16,24,1.0,1.0
16,22,12.0,12.0
16,21,5.0,5.0
16,17,6.0,6.0
16,17,1.0,1.0
16,14,1.0,1.0
16,12,1.0,1.0
16,11,14.0,14.0
16,8,4.0,0.0
16,4,4.0,0.0
16,4,3.0,0.0
16,3,3.0,0.0
16,2,6.0,0.0
17,24,3.0,3.0
